Ice World, iceflats, marble, (-100.0f, 750.0f, 1000.0f)

Kiosk, (15.0f, 0.0f, 45.0f), ground14, brick8, WEST, EMPTY, 1
Kiosk, (15.0f, 15.0f, 135.0f), ground14, brick8, WEST, EMPTY, 1
Kiosk, (15.0f, 0.0f, 225.0f), ground14, brick8, WEST, EMPTY, 1
Kiosk, (45.0f, 0.0f, 255.0f), ground14, brick8, SOUTH, EMPTY, 1
Kiosk, (75.0f, 0.0f, 225.0f), ground14, brick8, EAST, EMPTY, 1
Kiosk, (75.0f, 0.0f, 240.0f), ground14, brick8, EAST, EMPTY, 1
Kiosk, (75.0f, 15.0f, 195.0f), ground14, brick8, EAST, EMPTY, 1
Kiosk, (75.0f, 15.0f, 165.0f), ground14, brick8, EAST, EMPTY, 1
Kiosk, (75.0f, 15.0f, 135.0f), ground14, brick8, EAST, EMPTY, 1
Kiosk, (75.0f, 0.0f, 45.0f), ground14, brick8, EAST, EMPTY, 1
Kiosk, (15.0f, 0.0f, 60.0f), ground14, brick8, EAST, EMPTY, 1
Kiosk, (15.0f, 15.0f, 165.0f), ground14, brick8, EAST, EMPTY, 1
Start, (0.0f, 0.0f, 0.0f), ground14, brick8, WEST, EMPTY, 1
Corridor, (0.0f, 0.0f, 15.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 0.0f, 30.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 0.0f, 45.0f), ground14, brick8, EAST, POLE_DANCE, 1
Corridor, (0.0f, 0.0f, 60.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 0.0f, 75.0f), ground14, brick8, EAST, EMPTY, 1
Staircase, (0.0f, 0.0f, 90.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 15.0f, 105.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 15.0f, 120.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 15.0f, 135.0f), ground14, brick8, EAST, SPIKE_FIELD, 1
Corridor, (0.0f, 15.0f, 150.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 15.0f, 165.0f), ground14, brick8, EAST, EMPTY, 1
Staircase, (0.0f, 0.0f, 180.0f), ground14, brick8, WEST, EMPTY, 1
Corridor, (0.0f, 0.0f, 195.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 0.0f, 210.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 0.0f, 225.0f), ground14, brick8, EAST, SPIKE_TRAP_DOOR, 1
Corridor, (0.0f, 0.0f, 240.0f), ground14, brick8, EAST, EMPTY, 1
Corridor, (0.0f, 0.0f, 255.0f), ground14, brick8, EAST, EMPTY, 1
Corner, (0.0f, 0.0f, 270.0f), ground14, brick8, SOUTH, EMPTY, 1
